family,dataset,setting,plan__fusion,plan__baseline,plan__variant,n_seeds,record_mse_norm_mean,record_rmse_norm_mean,record_mae_norm_mean,record_ci_mean,record_mse_raw_mean,record_rmse_raw_mean,record_mae_raw_mean,record_mse_norm_sd,record_rmse_norm_sd,record_mae_norm_sd,record_ci_sd,record_mse_raw_sd,record_rmse_raw_sd,record_mae_raw_sd
primary,KIBA,warm,attention,,,3,0.0007156850934076156,0.026752264009978807,0.01657533765734698,0.8446580763138254,0.21173269721984367,0.4601437429495208,0.28509878294632696,2.5059159835409615e-06,4.685746485025549e-05,0.00019309897689851613,0.000330586456755954,0.0007413656580091087,0.0008059568062456171,0.0033213370635346733
primary,KIBA,warm,concat,,,3,0.000664294405290734,0.025773046792379906,0.015859159452778035,0.8536305778785874,0.19652895872200435,0.44330103103928753,0.2727803892751857,1.3308012609131836e-05,0.00025825664133737085,9.641063644548133e-05,0.0011980267577102498,0.003937124624115036,0.004442060587553446,0.0016582802523786742
primary,KIBA,warm,product,,,3,0.0006421446368693029,0.025340445438795656,0.015402423138303216,0.8545674788660121,0.18997603446262837,0.4358602101065607,0.26492444268296383,4.984035979935259e-06,9.845176019370697e-05,0.00015627671608041397,0.0012096558417754753,0.0014745079795470898,0.0016933879472257767,0.0026879875679410798
sensitivity,DAVIS,cold_drug,concat,,drug_pool_mean,3,0.01637164277021932,0.1278882115160428,0.08053726202898691,0.700656726094357,0.5499599109332398,0.7412247299193663,0.46678430785930985,0.0012559884257818303,0.00493681964131044,0.007371185634754499,0.024949560731116552,0.04219144605528807,0.028613214321414816,0.04272250754418457
sensitivity,DAVIS,cold_drug,concat,,protein_len_1000,3,0.016689697329712715,0.12918489133539743,0.07656448939838575,0.678704644069628,0.5606440713236118,0.7487401305767011,0.4437585943456058,0.00031092298504604906,0.0012007375072895907,0.0033162361125195364,0.006062591839073499,0.010444594935461708,0.006959330527764374,0.019220506626154488
sensitivity,DAVIS,cold_target,concat,,drug_pool_mean,3,0.01352547136468403,0.11627896313886299,0.06626316243114481,0.7919316546549933,0.4543506801029514,0.6739389192028526,0.38405333919668677,0.0006141406704808003,0.002647856501485066,0.003186227091816849,0.0015082315748684893,0.02063035171109938,0.015346658592784399,0.018466989940644
sensitivity,DAVIS,cold_target,concat,,protein_len_1000,3,0.014512711174061244,0.12040496042093153,0.06603970966904012,0.7894301290046023,0.4875142621121114,0.6978527044125679,0.3827582337973905,0.0011578839256876532,0.004799481236835142,0.00247100886694874,0.010200304093362405,0.03889589759437942,0.027817217406937732,0.014321670921191073
sensitivity,DAVIS,warm,concat,,drug_pool_mean,3,0.006407890818561149,0.08004868672043759,0.04436251580659909,0.8678842230159542,0.21525531147407295,0.4639525839902236,0.2571198190004019,6.16365101752276e-05,0.00038452482570225263,0.0022448706283649754,0.0013575734289833765,0.00207050753073263,0.0022286597544816573,0.013011000822425404
sensitivity,DAVIS,warm,concat,,protein_len_1000,3,0.007107316434725061,0.08428709109277001,0.045928794159659836,0.8619305767329207,0.2387505742872609,0.48851786720850576,0.2661977804126651,0.000355165322934567,0.002122278201891965,0.0014455593467686257,0.002138152173554575,0.011930793513463208,0.012300469827227128,0.008378288535660538
sensitivity,KIBA,cold_drug,concat,,drug_pool_mean,3,0.0010984866496834963,0.03314305284450981,0.021317468661036194,0.7754674266546594,0.32485953668506623,0.569958097323139,0.3665945902687872,1.2740302485936953e-05,0.00019247530825986704,0.00045362735970151023,0.0034000329416478325,0.00376773697158861,0.003309980555869292,0.007800988884221668
sensitivity,KIBA,cold_drug,concat,,protein_len_1000,3,0.0010921621613946937,0.03304652649740263,0.020938767693137045,0.7780190364493098,0.32298917227429935,0.5682981424180532,0.36008210380198946,2.4230012039433e-05,0.00036588492280894424,0.00033550567509632275,0.0048941456451633255,0.007165631450570389,0.0062920900926588955,0.005769660903482247
sensitivity,KIBA,cold_target,concat,,drug_pool_mean,3,0.0013404340567572538,0.03658469366128572,0.02664787304781767,0.691227558422841,0.39656228821424594,0.6292632978534572,0.4583481996623802,0.00012767394090602626,0.0017295576604151814,0.0018336102532725816,0.014641882713154834,0.037771847034018806,0.029748702211282056,0.031538425485661596
sensitivity,KIBA,cold_target,concat,,protein_len_1000,3,0.0014091114084978475,0.037537657169157086,0.026979898776193906,0.6722747712848937,0.41688022001958247,0.6456544412438885,0.46405910178840576,1.7385104567761507e-05,0.0002314176376497407,0.0006448307790001458,0.0028047286601780093,0.005143316684234234,0.003980424906578736,0.011091205144637661
sensitivity,KIBA,warm,concat,,drug_pool_mean,3,0.0006827625101263783,0.02612892898808757,0.016116132499598725,0.852101405969495,0.20199267689275957,0.44942226868560176,0.2772003718066496,1.3085352263949909e-05,0.00024974005041851054,0.00022803399839846537,0.0014383170315392282,0.0038712514127214287,0.004295573695037932,0.003922225704100229
sensitivity,KIBA,warm,concat,,protein_len_1000,3,0.0006565682187033374,0.0256226630978801,0.01552240742963488,0.8554347887540642,0.19424319597461467,0.44071440450031857,0.2669881940308088,1.3665542938081449e-05,0.0002665177551421964,0.0001853424440905132,0.0006387751286868245,0.004042898604296665,0.004584153227849866,0.003187923306954851
