family,dataset,setting,plan__fusion,plan__baseline,plan__variant,n_seeds,unique_mse_norm_mean,unique_rmse_norm_mean,unique_mae_norm_mean,unique_ci_mean,unique_mse_raw_mean,unique_rmse_raw_mean,unique_mae_raw_mean,unique_mse_norm_sd,unique_rmse_norm_sd,unique_mae_norm_sd,unique_ci_sd,unique_mse_raw_sd,unique_rmse_raw_sd,unique_mae_raw_sd
primary,KIBA,warm,concat,,,3,0.0006617783230375056,0.025724233464985768,0.015811899660487305,0.8534009550878485,0.1957845854119966,0.4424614330462137,0.2719675123647469,1.2927672960784388e-05,0.0002514030919021196,0.00010182825602148109,0.0011459462875375614,0.003824602594040586,0.004324178307068641,0.0017514642815377852
primary,KIBA,warm,product,,,3,0.0006391211063610789,0.02528069198067721,0.01535064981500866,0.854396029081571,0.1890815345274898,0.4348324399012971,0.2640339322290895,5.434023695337215e-06,0.00010760580283155064,0.0001610625922238987,0.001229444100427124,0.0016076351238393349,0.001850839123729097,0.002770305496664202
sensitivity,DAVIS,cold_drug,concat,,drug_pool_mean,3,0.014116702154945855,0.11877311550386704,0.07336623718403866,0.691259565949978,0.4742114379582869,0.6883947270620152,0.4252219082375508,0.0009021216862065431,0.0038044424921886773,0.006381842299621113,0.038211304410270736,0.030304274846478817,0.022050092227715302,0.03698839227516489
sensitivity,DAVIS,cold_drug,concat,,protein_len_1000,3,0.01446572768137955,0.12027305552186547,0.06941795743593142,0.6654541950244316,0.48593598204497246,0.6970881994435308,0.4023381525321253,0.00010200574168573791,0.00042390473071383684,0.002462874930392274,0.003941420102501283,0.003426599847036415,0.002456900959127873,0.014274527600819499
sensitivity,DAVIS,cold_target,concat,,drug_pool_mean,3,0.013394924994922947,0.11571414467930635,0.06597082866784254,0.7906793466478271,0.4499653370500806,0.6706652991781811,0.3823590077787919,0.0006435645985895045,0.002782548128830047,0.00299158741757317,0.0019302074095643724,0.021618766930579077,0.01612731510457453,0.017338881741595744
sensitivity,DAVIS,cold_target,concat,,protein_len_1000,3,0.014396911871090665,0.11992014652690895,0.06570351720909313,0.7890339078468268,0.48362430584799876,0.695042781250784,0.380809702635909,0.0011821936693166375,0.004909734420824843,0.0024211668047099083,0.01015065055090648,0.03971251597707003,0.028456231633164873,0.014032792308505466
sensitivity,DAVIS,warm,concat,,drug_pool_mean,3,0.006193148214233865,0.07869607459836063,0.04324015747737111,0.8740460590608162,0.20804162954813735,0.4561130064170678,0.25061476478474876,5.317003028001765e-05,0.000337765546921806,0.0022382253038362794,0.0005606864360926842,0.001786099631388681,0.0019576485848484255,0.012972485318763112
sensitivity,DAVIS,warm,concat,,protein_len_1000,3,0.0068332594911194935,0.08264897215016781,0.0447660358476982,0.8683786587945711,0.2295443917183302,0.479023526358694,0.25945857274427775,0.0003138193232251358,0.0019000895927349074,0.0013032236809009789,0.003180850136325635,0.010541889379847123,0.011012691306742211,0.007553328093724854
sensitivity,KIBA,cold_drug,concat,,drug_pool_mean,3,0.0010984865521696833,0.03314305137477038,0.021317465902116698,0.7754656967984758,0.32485950784694406,0.5699580720481622,0.36659454282389675,1.2740278630222332e-05,0.00019247495557128406,0.00045362690060902187,0.003401156869658585,0.003767729916649538,0.003309974490715526,0.007800980989249441
sensitivity,KIBA,cold_drug,concat,,protein_len_1000,3,0.0010921620620165903,0.03304652499323297,0.02093876499391041,0.7780178973886134,0.32298914288484365,0.5682981165509828,0.36008205738363186,2.4230016022240087e-05,0.00036588499877462574,0.0003355055848166799,0.0048920942573681,0.007165632628420767,0.006292091399033871,0.005769659350951366
sensitivity,KIBA,cold_target,concat,,drug_pool_mean,3,0.0013388672863043482,0.03656329855579268,0.026634308909018013,0.6912981764633056,0.3960987651690215,0.6288952981985981,0.4581148940402903,0.00012755909638838863,0.001728793665096125,0.0018324980378520166,0.014623415581924995,0.037737870722783055,0.02973556135465861,0.0315192951807875
sensitivity,KIBA,cold_target,concat,,protein_len_1000,3,0.001407777626625805,0.03751988671019102,0.026967591691100034,0.6723233967239315,0.41648562575476983,0.6453487861599102,0.4638474177156939,1.7384508906893082e-05,0.00023149907203774792,0.0006456748593925396,0.0028003137442865525,0.005143140460244947,0.003981825592669744,0.011105723478897635
sensitivity,KIBA,warm,concat,,drug_pool_mean,3,0.0006804320397622723,0.02608425768364096,0.01607250560898919,0.8518316670544058,0.2013032161501392,0.44865391423071027,0.27644998145722577,1.3368279496953517e-05,0.00025556072377131144,0.00023272540129033072,0.0014642735550985837,0.003954954352341926,0.0043956903215053335,0.004002918675937744
sensitivity,KIBA,warm,concat,,protein_len_1000,3,0.0006539742442891886,0.025572007331111358,0.015471439613117532,0.8552198970756715,0.19347577856675446,0.4398431162192873,0.2661115384380892,1.3541393621687312e-05,0.000264628078939245,0.00018587193370290587,0.000652924073614514,0.00400616950394193,0.004551650457965883,0.0031970306233303127
