family,stem,dataset,setting,seed,record_n,record_mse_norm,record_rmse_norm,record_mae_norm,record_ci,record_mse_raw,record_rmse_raw,record_mae_raw,unique_n,unique_mse_norm,unique_rmse_norm,unique_mae_norm,unique_ci,unique_mse_raw,unique_rmse_raw,unique_mae_raw,plan__fusion,plan__baseline,plan__variant
primary,davis_cold_drug_attention_seed42,DAVIS,cold_drug,42,2652,0.015535384763147508,0.12464102359635654,0.07081440363787284,0.7209746330405152,0.5218681436291661,0.7224044183344716,0.41043178717296247,2274,0.013579508727560374,0.11653114917291588,0.0644559988304904,0.7209385256199172,0.4561659153662445,0.6754005591989427,0.37357923579078284,attention,,
primary,davis_cold_drug_attention_seed123,DAVIS,cold_drug,123,2652,0.021517327126421782,0.1466878560972986,0.08564311015766625,0.654969403898554,0.7228148986669943,0.8501852143309682,0.49637719101347694,2274,0.018233585475329977,0.1350317943127839,0.07878253507877181,0.6323109191895389,0.6125067096044238,0.7826280787222138,0.45661412098800264,attention,,
primary,davis_cold_drug_attention_seed2026,DAVIS,cold_drug,2026,2652,0.02024271128107903,0.14227688245487752,0.08013593960064569,0.6650484085825161,0.6799977161388048,0.8246197403281131,0.4644582912153091,2274,0.017141242472749296,0.1309245678730669,0.07141358393700392,0.6512747923985324,0.5758124774592783,0.7588230870626422,0.41390456429707406,attention,,
primary,davis_cold_target_concat_seed42,DAVIS,cold_target,42,4828,0.013650671664128772,0.11683608887723336,0.06198698035378888,0.7992261932448852,0.45855643675778723,0.6771679531385011,0.3592691009326575,4624,0.01358092419930907,0.11653722237684006,0.06179876533355529,0.7985707697252877,0.45621346421199976,0.6754357587602242,0.35817822925742177,concat,,
primary,davis_cold_target_concat_seed123,DAVIS,cold_target,123,4828,0.013644837048335138,0.1168111169723804,0.06784262319353968,0.7893347584263253,0.4583604390300556,0.6770232189741026,0.39320770427182516,4624,0.013583318151856283,0.11654749311699623,0.06775104281148439,0.7873484237937958,0.4562938824050988,0.675495286737886,0.3926769153652471,concat,,
primary,davis_cold_target_concat_seed2026,DAVIS,cold_target,2026,4828,0.01347182076366689,0.11606817291431312,0.06726129355449231,0.7869916539031832,0.45254843703113373,0.6727172043519727,0.3898383874318368,4624,0.013396445859636112,0.1157430164616255,0.06720390775695331,0.7848516426436961,0.4500164262800335,0.6708326365644665,0.38950578623444876,concat,,
primary,davis_cold_target_product_seed42,DAVIS,cold_target,42,4828,0.013483770428403551,0.11611963842694116,0.06088678931362216,0.7998049420699029,0.4529498528601067,0.6730154922883326,0.35289252566477225,4624,0.013387390580332423,0.11570389181152216,0.06076177701488213,0.7979058572855303,0.4497122392983586,0.6706058747866429,0.3521679693802506,product,,
primary,davis_cold_target_product_seed123,DAVIS,cold_target,123,4828,0.013172600748961955,0.11477195105495921,0.06272184560140265,0.7974470300096074,0.4424969709109525,0.6652044579758561,0.3635282917386945,4624,0.013132392123697075,0.11459664970537783,0.06265848241483263,0.7955285847846676,0.44114627371582155,0.6641884323863384,0.3631610463116497,product,,
primary,davis_cold_target_product_seed2026,DAVIS,cold_target,2026,4828,0.013082686657788457,0.11437957272952394,0.06182917952316907,0.7979244685098063,0.4394765565110385,0.6629302802791848,0.35835450625132875,4624,0.012994029997643625,0.1139913593113251,0.06170072422363388,0.7962083686155594,0.4364983820174205,0.6606802418851502,0.35760999474728966,product,,
primary,davis_cold_target_attention_seed42,DAVIS,cold_target,42,4828,0.013371815163849648,0.11563656499502935,0.07223008875958145,0.7949596984014218,0.44918902640018815,0.6702156566361219,0.41863692828448473,4624,0.013231778797940527,0.11502946925871008,0.07198247597923986,0.7934363771427794,0.44448489325950635,0.666697002587762,0.41720179431820625,attention,,
